,"Q34_Are you doing other things at home to learn, aside from radio lessons?",Q35_What are you doing?
1361,Yes,"Harvesting, cooking,collect water and washing clothes for the family"
1362,Yes,"Caltivation, harvesting and looking after cattles"
1363,,
1364,Yes,"Harvesting, looking after goats and collect water from the well"
1365,Yes,Looking after goats and harvesting groundnut
1366,Yes,Harvesting groundnuts and looking after gaots
1367,Yes,"Harvesting,cooking and general cleaness of the compound"
1368,,
1369,,
1370,Yes,Looking after goats and harvesting groundnuts
1371,,
1372,Yes,"Caltivation, harvesting and my studies"
1373,,
1374,,
1375,No,
1376,No,
1377,,
1378,Yes,Read
1379,,
1380,,
1381,,
1382,Yes,Reading books
1383,,
1384,,
1385,,
1386,,
1387,,
1388,,
1389,,
1390,,
1391,,
1392,,
1393,,
1394,,
1395,Yes,Reading at home
1396,Yes,Cooking
1397,No,
1398,Yes,Studies
1399,Yes,Studies
1400,Yes,Studies
1401,Yes,Study
1402,Yes,Studies
1403,Yes,Studies
1404,Yes,Studies
1405,Yes,Studies
1406,Yes,Studies
1407,No,
1408,,
1409,,
1410,,
1411,No,
1412,,
1413,No,
1414,No,
1415,No,
1416,No,
1417,,
1418,,
1419,Yes,Reading
1420,No,
1421,Yes,Looking after cattle and goats.
1422,Yes,House works
1423,,
1424,,
1425,,
1426,,
1427,,
1428,Yes,Looking after cattle and cultivation.
1429,,
1430,,
1431,,
1432,Yes,Reading
1433,,
1434,No,
1435,Yes,Revision
1436,,
1437,Yes,Making cakes for selling 
1438,Yes,Making cakes
1439,Yes,Sometime I do other house activities 
1440,No,
1441,Yes,Making food 
1442,Yes,Studies 
1443,No,
1444,No,
1445,,
1446,No,
1447,No,
1448,No,
1449,No,
1450,No,
1451,No,
1452,,
1453,,
1454,,
1455,Yes,Reading books.
1456,No,
1457,Yes,Study books 
1458,Yes,Study  my books
1459,Yes,Study my books
1460,Yes,Study my books at home
1461,Yes,Study my books at home
1462,Yes,Study my books
1463,Yes,Studying my books
1464,Yes,Study my books 
1465,Yes,Study my books at home
1466,Yes,Study my books
1467,Yes,Studying my books
1468,Yes,Studying my books
1469,,
1470,Yes,Studying my books
1471,Yes,Singing and practicing alphabetical letters 
1472,,
1473,,
1474,,
1475,,
1476,,
1477,,
1478,,
1479,,
1480,,
1481,Yes,Studying books
1482,Yes,Study  my books 
1483,No,
1484,,
1485,Yes,Studying my books
1486,Yes,Studying  my books
1487,Yes,Studying my books
1488,No,
1489,,
1490,Yes,Counting numbers
1491,Yes,Counting numbers
1492,,
1493,Yes,Study books
1494,,
1495,,
1496,Yes,Studies 
1497,,
1498,Yes,Studies 
1499,No,
1500,,
1501,,
1502,Yes,Studies 
1503,,
1504,Yes,Studies 
1505,Yes,Studying my books
1506,No,
1507,Yes,Study books 
1508,,
1509,,
1510,No,
1511,,
1512,,
1513,,
1514,,
1515,,
1516,No,
1517,,
1518,,
1519,,
1520,,
1521,,
1522,Yes,Studies 
1523,Yes,Studies 
1524,,
